src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat,f_pktTotalCount,f_octetTotalCount,f_min_ps,f_max_ps,f_avg_ps,f_std_dev_ps,f_flowStart,f_flowEnd,f_flowDuration,f_min_piat,f_max_piat,f_avg_piat,f_std_dev_piat,b_pktTotalCount,b_octetTotalCount,b_min_ps,b_max_ps,b_avg_ps,b_std_dev_ps,b_flowStart,b_flowEnd,b_flowDuration,b_min_piat,b_max_piat,b_avg_piat,b_std_dev_piat
192.168.170.1,55022,239.255.255.250,1900,17,4,812,203,203,203.0,0.0,1672725638.853496,1672725641.873636,3.0201399326324463,1.0032188892364502,1.0102050304412842,1.0067133108774822,0.0028520808438034415,4,812,203,203,203.0,0.0,1672725638.853496,1672725641.873636,3.0201399326324463,1.0032188892364502,1.0102050304412842,1.0067133108774822,0.0028520808438034415,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,55026,239.255.255.250,1900,17,4,792,198,198,198.0,0.0,1672725638.917717,1672725641.9741,3.0563831329345703,1.0137810707092285,1.023697853088379,1.0187943776448567,0.0040492542857790996,4,792,198,198,198.0,0.0,1672725638.917717,1672725641.9741,3.0563831329345703,1.0137810707092285,1.023697853088379,1.0187943776448567,0.0040492542857790996,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,55030,239.255.255.250,1900,17,4,812,203,203,203.0,0.0,1672725638.932731,1672725641.9741,3.0413691997528076,1.0042171478271484,1.018904209136963,1.0137897332509358,0.006774141912083279,4,812,203,203,203.0,0.0,1672725638.932731,1672725641.9741,3.0413691997528076,1.0042171478271484,1.018904209136963,1.0137897332509358,0.006774141912083279,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,55034,239.255.255.250,1900,17,4,812,203,203,203.0,0.0,1672725758.867211,1672725761.90271,3.035498857498169,1.0082669258117676,1.0189628601074219,1.0118329524993896,0.005041606094978471,4,812,203,203,203.0,0.0,1672725758.867211,1672725761.90271,3.035498857498169,1.0082669258117676,1.0189628601074219,1.0118329524993896,0.005041606094978471,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,55040,239.255.255.250,1900,17,4,792,198,198,198.0,0.0,1672725758.935485,1672725761.964306,3.0288212299346924,1.002465009689331,1.0210981369018555,1.0096070766448975,0.00820502547146935,4,792,198,198,198.0,0.0,1672725758.935485,1672725761.964306,3.0288212299346924,1.002465009689331,1.0210981369018555,1.0096070766448975,0.00820502547146935,0,0,0,0,0,0,0,0,0,0,0,0,0
192.168.170.1,55042,239.255.255.250,1900,17,4,812,203,203,203.0,0.0,1672725758.935665,1672725761.948555,3.012890100479126,1.0020391941070557,1.0055298805236816,1.0042967001597087,0.0015985733748505493,4,812,203,203,203.0,0.0,1672725758.935665,1672725761.948555,3.012890100479126,1.0020391941070557,1.0055298805236816,1.0042967001597087,0.0015985733748505493,0,0,0,0,0,0,0,0,0,0,0,0,0
