src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat
54.175.191.203,443,192.168.1.5,52385,6,6,283,40,71,47.166666666666664,11.524129275375019,1669046123.438821,1669046183.06799,59.62916898727417,0.0,22.521519899368286,11.925833797454834,8.797445190588206
192.168.1.5,52385,54.175.191.203,443,6,11,442,40,41,40.18181818181818,0.385694607919935,1669046123.438986,1669046183.068333,59.62934684753418,9.059906005859375e-06,22.521497011184692,5.962934684753418,8.585290193679949
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,61449,2600:9000:2119:3400:14:9ec2:1cc0:93a1,443,6,3,63,21,21,21.0,0.0,1669046123.628472,1669046168.687286,45.05881381034851,1.5974044799804688e-05,45.05879783630371,22.529406905174255,22.529390931129456
2600:9000:2119:3400:14:9ec2:1cc0:93a1,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,61449,6,2,64,32,32,32.0,0.0,1669046123.677454,1669046168.746855,45.069401025772095,45.069401025772095,45.069401025772095,45.069401025772095,0.0
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52563,2406:da00:ff00::22c5:2ef4,443,6,16,2029,20,543,126.8125,164.7665844270312,1669046123.717383,1669046126.003738,2.2863550186157227,1.1920928955078125e-05,1.654953956604004,0.15242366790771483,0.40451797092424147
2406:da00:ff00::22c5:2ef4,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52563,6,15,4341,20,1440,289.4,461.180485276643,1669046123.793269,1669046126.001228,2.2079591751098633,0.0,1.835886001586914,0.1577113696507045,0.46675527991373056
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52440,2800:3f0:4005:407::2011,443,6,3,63,21,21,21.0,0.0,1669046124.940647,1669046170.040254,45.09960722923279,1.1205673217773438e-05,45.09959602355957,22.549803614616394,22.549792408943176
192.168.1.5,52732,66.22.223.115,50024,17,23,2038,88,102,88.6086956521739,2.8550356798925227,1669046124.989919,1669046183.721338,58.7314190864563,1.4066696166992188e-05,6.1273698806762695,2.669609958475286,2.5226266431690965
2800:3f0:4005:407::2011,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52440,6,2,64,32,32,32.0,0.0,1669046125.030967,1669046170.129635,45.09866809844971,45.09866809844971,45.09866809844971,45.09866809844971,0.0
66.22.223.115,50024,192.168.1.5,52732,17,59,4742,80,102,80.37288135593221,2.8397798021865417,1669046125.077381,1669046186.045838,60.96845722198486,0.9614670276641846,3.9603312015533447,1.0511802969307735,0.38543363138474224
2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52564,2406:da00:ff00::22ee:e721,443,6,9,1044,20,296,116.0,112.90802549961727,1669046125.195408,1669046125.846978,0.6515698432922363,0.003964900970458984,0.18601512908935547,0.08144623041152954,0.05445739287797238
2406:da00:ff00::22ee:e721,443,2800:5f0:814:1787:f03b:d7a3:ca44:cb0f,52564,6,10,6713,20,1440,671.3,582.6553097672758,1669046125.270247,1669046125.749608,0.47936105728149414,0.0,0.11826300621032715,0.05326233969794379,0.04963115463190719
54.175.191.203,443,192.168.1.5,61458,6,6,264,40,52,44.0,5.656854249492381,1669046125.66679,1669046202.108749,76.44195890426636,8.822543859481812,22.539369106292725,15.28839178085327,6.174997280681827
192.168.1.5,61458,54.175.191.203,443,6,11,444,40,41,40.36363636363637,0.4810456929208346,1669046125.666966,1669046202.034555,76.3675889968872,1.1920928955078125e-05,22.539390087127686,7.63675889968872,8.806453646943739
192.168.1.4,5353,224.0.0.251,5353,17,5,445,89,89,89.0,0.0,1669046125.76282,1669046205.778367,80.01554703712463,19.996976852416992,20.011784076690674,20.00388675928116,0.005306180125277587
54.175.191.203,443,192.168.1.5,61462,6,7,304,40,52,43.42857142857143,5.421047417431508,1669046125.94162,1669046207.856284,81.9146637916565,5.718271017074585,20.480318784713745,13.652443965276083,5.49243792270081
192.168.1.5,61462,54.175.191.203,443,6,12,484,40,41,40.333333333333336,0.4714045207910317,1669046125.941795,1669046207.856377,81.91458177566528,1.2874603271484375e-05,20.48033595085144,7.446780161424116,7.908114219731056
