src_ip,src_port,dst_ip,dst_port,proto,pktTotalCount,octetTotalCount,min_ps,max_ps,avg_ps,std_dev_ps,flowStart,flowEnd,flowDuration,min_piat,max_piat,avg_piat,std_dev_piat,f_pktTotalCount,f_octetTotalCount,f_min_ps,f_max_ps,f_avg_ps,f_std_dev_ps,f_flowStart,f_flowEnd,f_flowDuration,f_min_piat,f_max_piat,f_avg_piat,f_std_dev_piat,b_pktTotalCount,b_octetTotalCount,b_min_ps,b_max_ps,b_avg_ps,b_std_dev_ps,b_flowStart,b_flowEnd,b_flowDuration,b_min_piat,b_max_piat,b_avg_piat,b_std_dev_piat
192.168.170.133,58082,35.244.181.201,443,6,39,7694,40,2116,197.28205128205127,416.78592849407005,1675311801.937733,1675311972.886857,170.9491240978241,1.1920928955078125e-05,58.76349091529846,4.498661160469055,15.34449158266409,20,1915,40,415,95.75,91.79317785107997,1675311801.937733,1675311972.886857,170.9491240978241,8.893013000488281e-05,58.76383185386658,8.99732232093811,20.746885358237954,19,5779,40,2116,304.1578947368421,570.4563513131068,1675311801.961358,1675311972.886815,170.92545700073242,5.507469177246094e-05,58.76385498046875,9.495858722262913,21.211015502590456
192.168.170.133,52460,192.168.170.2,53,17,2,196,74,122,98.0,24.0,1675311801.993779,1675311802.002435,0.008656024932861328,0.008656024932861328,0.008656024932861328,0.008656024932861328,0.0,1,74,74,74,74,0.0,1675311801.993779,1675311801.993779,0,0,0,0,0,1,122,122,122,122.0,0.0,1675311802.002435,1675311802.002435,0,0,0,0,0
192.168.170.133,49795,192.168.170.2,53,17,2,245,74,171,122.5,48.5,1675311801.994085,1675311802.002373,0.008287906646728516,0.008287906646728516,0.008287906646728516,0.008287906646728516,0.0,1,74,74,74,74,0.0,1675311801.994085,1675311801.994085,0,0,0,0,0,1,171,171,171,171.0,0.0,1675311802.002373,1675311802.002373,0,0,0,0,0
192.168.170.133,42657,192.168.170.2,53,17,2,218,75,143,109.0,34.0,1675311802.002737,1675311802.009007,0.006269931793212891,0.006269931793212891,0.006269931793212891,0.006269931793212891,0.0,1,75,75,75,75,0.0,1675311802.002737,1675311802.002737,0,0,0,0,0,1,143,143,143,143.0,0.0,1675311802.009007,1675311802.009007,0,0,0,0,0
192.168.170.133,54190,192.16.58.8,80,6,29,2347,40,779,80.93103448275862,152.87225476926872,1675311802.00338,1675311917.922845,115.91946482658386,3.1948089599609375e-05,31.496430158615112,4.139980886663709,6.95981295555247,15,1044,40,464,69.6,105.52522605203617,1675311802.00338,1675311917.922845,115.91946482658386,0.0005099773406982422,31.496430158615112,8.279961773327418,7.912182414455067,14,1303,40,779,93.07142857142857,190.24512919828848,1675311802.064955,1675311917.922805,115.85785007476807,0.0008449554443359375,31.49665904045105,8.912142313443697,7.862836966450463
192.168.170.133,57476,192.168.170.2,53,17,2,338,92,246,169.0,77.0,1675311802.179184,1675311802.189479,0.01029515266418457,0.01029515266418457,0.01029515266418457,0.01029515266418457,0.0,1,92,92,92,92,0.0,1675311802.179184,1675311802.179184,0,0,0,0,0,1,246,246,246,246.0,0.0,1675311802.189479,1675311802.189479,0,0,0,0,0
192.168.170.133,52873,192.168.170.2,53,17,2,350,92,258,175.0,83.0,1675311802.1795,1675311802.189532,0.010031938552856445,0.010031938552856445,0.010031938552856445,0.010031938552856445,0.0,1,92,92,92,92,0.0,1675311802.1795,1675311802.1795,0,0,0,0,0,1,258,258,258,258.0,0.0,1675311802.189532,1675311802.189532,0,0,0,0,0
192.168.170.133,46980,34.160.144.191,443,6,53,9229,40,4499,174.1320754716981,605.3170707496819,1675311802.190801,1675312099.822802,297.6320011615753,2.7894973754882812e-05,58.9289870262146,5.723692330030294,17.287793510254087,26,2680,40,386,103.07692307692308,86.68241019195526,1675311802.190801,1675312099.822802,297.6320011615753,0.0002620220184326172,58.9289870262146,11.905280046463012,23.410601043166896,27,6549,40,4499,242.55555555555554,838.133434675522,1675311802.218629,1675312099.822757,297.6041281223297,0.0005679130554199219,58.977797985076904,11.446312620089603,23.079763894587003
192.168.170.132,34188,192.168.170.133,80,6,11,2627,52,2008,238.8181818181818,559.9546764421399,1675311808.427273,1675311808.883087,0.4558138847351074,0.00012087821960449219,0.2826528549194336,0.045581388473510745,0.08317773568646915,6,403,52,135,67.16666666666667,30.476311383688735,1675311808.427273,1675311808.882928,0.4556548595428467,0.0005860328674316406,0.2839322090148926,0.09113097190856934,0.09915852241449198,5,2224,52,2008,444.8,781.606141224594,1675311808.427394,1675311808.883087,0.45569300651550293,0.00023293495178222656,0.2826528549194336,0.11392325162887573,0.10424422700297585
192.168.170.132,34196,192.168.170.133,80,6,11,2627,52,2008,238.8181818181818,559.9546764421399,1675311808.428625,1675311808.698025,0.26939988136291504,0.00011897087097167969,0.09979796409606934,0.026939988136291504,0.03525741456339062,6,403,52,135,67.16666666666667,30.476311383688735,1675311808.428625,1675311808.697906,0.26928091049194336,0.0006148815155029297,0.10055994987487793,0.053856182098388675,0.03267603977857668,5,2224,52,2008,444.8,781.606141224594,1675311808.428765,1675311808.698025,0.2692599296569824,0.00014495849609375,0.1012420654296875,0.0673149824142456,0.040983474450261306
